SKU,Producto,Marca_o_Detalle,Precio_Normal,Precio_Cyber,Descuento,Enlace_Imagen,Estado_WooCommerce
3502075,ESTANTE MULTIUSO,21.09,$45.500,$36.400,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/multiuso_cin_off.jpg,Encontrado
3502076,ESTANTE MULTIUSO,21.09,$45.500,$36.400,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/multiuso_blanco.jpg,Encontrado
3502087,ROPERO ROMA BLANCO,118.83,$256.400,$205.120,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/roma_blanco.png,Encontrado
3502089,ROPERO PALMAS BLANCO,61.27,$132.200,$105.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/palmas_blanco.png,Encontrado
3502090,ROPERO PALMAS CINAMOMO,61.27,$132.200,$105.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/palmas_cin.png,Encontrado
3502091,ROPERO PALMAS CINAMOMO OFF WHITE,61.27,$132.200,$105.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/palmas_cin_off.jpg,Encontrado
3502051,ROPERO RIO GRANDE BLANCO,47.04,$101.500,$81.200,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/rio_grande_blanco.png,Encontrado
3502052,ROPERO RIO GRANDE CINAMOMO OFF,47.04,$101.500,$81.200,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/rio_grande_cin_off.png,Encontrado
3502034,ROPERO ADOLETA BLANCO NATURE,61.27,$132.200,$105.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/guarda-roupa-infantil-doce-sonho-3-portas-2-gavetas-branco-nature-panorama-moveis-493163-cape.webp,Encontrado
3502033,ROPERO ADOLETA VERDE,61.27,$132.200,$105.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/guarda-roupa-infantil-doce-sonho-3-portas-2-gavetas-verde-nature-panorama-moveis-493170-cape.webp,Encontrado
3502092,ARMARIO GENIUS BLANCO,50.75,$109.500,$87.600,-20%,,No creado en WooCommerce
3502093,ARMARIO GENIUS CINAMOMO,50.75,$109.500,$87.600,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/armario_genius_cinamomo.webp,Encontrado
3502094,ARMARIO GENIUS CINAMOMO OFF,50.75,$109.500,$87.600,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/armario_genius_cinamomo_offwhite.png,Encontrado
3502026,MULTIUSO SERIDO CINAMOMO OFF,37.14,$80.100,$64.080,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/serido_cin_off.png,Encontrado
3502082,COMODA BELLA BLANCA,68.08,$146.900,$117.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/bella_blanco-1.png,Encontrado
3502081,COMODA BELLA CINAMOMO,68.08,$146.900,$117.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/bella_cin.jpeg,Encontrado
3502080,COMODA BELLA CINAMOMO OFF,68.08,$146.900,$117.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/bella_cin_off.png,Encontrado
3502083,COMODA BELLA CINAMOMO CHUMBO,68.08,$146.900,$117.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/bella_cin_chumbo.png,Encontrado
3502069,COMODA LAGUNA BLANCA,56.94,$122.900,$98.320,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/laguna_blanco.png,Encontrado
3502067,COMODA LAGUNA CINAMOMO OFF,56.94,$122.900,$98.320,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/laguna_cin_off.png,Encontrado
3502068,COMODA LAGUNA CINAMOMO CHUMBO,56.94,$122.900,$98.320,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/laguna_cin_chumbo.png,Encontrado
3502020,COMODA CATAVENTO BLANCO NAT,40.85,$88.200,$70.560,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/catavento.jpg,Encontrado
3502018,COMODA CATAVENTO ROSA,40.85,$88.200,$70.560,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/catavento2.jpg,Encontrado
3502019,COMODA CATAVENTO VERDE,40.85,$88.200,$70.560,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/catavento3.jpg,Encontrado
3502084,COMODA DUNAS CON ESPEJO BLANCA,38.369999999999997,$82.800,$66.240,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/04/dunas_blanco.png,Encontrado
3599114,BUFFET MAX,"35,46",$99.900,$79.920,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599114.jpg,Encontrado
3599115,BUFFET MAX,35.46,$99.900,$79.920,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599115.jpg,Encontrado
3599116,BUFFET MAX,35.46,$99.900,$79.920,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599116.jpg,Encontrado
3503001,MESA LATERAL PET,24.93,$42.100,$27.365,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503001_pet_golden.jpg,Encontrado
3503002,MESA LATERAL PET,24.93,$42.100,$27.365,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503002_pet_golden.jpg,Encontrado
3503003,MESA LATERAL PET,24.93,$42.100,$27.365,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503003_pet_golden.jpg,Encontrado
3503004,MESA LATERAL PET,25.82,$43.600,$28.340,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503004_pet_persa.jpg,Encontrado
3503006,MESA LATERAL PET,25.82,$43.600,$28.340,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503006_pet_persa.jpg,Encontrado
3503007,APARADOR PET,37.94,$64.000,$41.600,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503007_pet_dog.jpg,Encontrado
3503008,APARADOR PET,37.94,$64.000,$41.600,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503008_pet_dog.jpg,Encontrado
3503009,APARADOR PET,50.44,$85.100,$55.315,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503009_pet_retro.jpg,Encontrado
3503010,APARADOR PET,50.44,$85.100,$55.315,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503010_pet_retro.jpg,Encontrado
3503011,RACK RETRO PET,51.51,$86.900,$56.485,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503011_rack_roxi.jpg,Encontrado
3503014,ESTANTE PET GATO,45.3,$76.500,$49.725,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503014_pet_siames.jpg,Encontrado
3503015,ESTANTE PET GATO,45.3,$76.500,$49.725,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503015_pet_siames.jpg,Encontrado
3503016,ESTANTE PET GATO,45.3,$76.500,$49.725,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503016_pet_siames.jpg,Encontrado
3503017,ESTANTE PET GATO,45.3,$76.500,$49.725,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503017_pet_siames.jpg,Encontrado
3503018,ESTANTE PET GATO,45.3,$76.500,$49.725,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503018_pet_siames.jpg,Encontrado
3503028,ZAPATERA RETRO,56.46,$95.500,$62.075,-35%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3503028_zapatera-e1713985008846.jpg,Encontrado
3599658,COMODA GENOVA JACARANDA OFF WHITE,56.97,$117.200,$93.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/30.jpg,Encontrado
3599659,COMODA GENOVA CINAMOMO,56.97,$117.200,$93.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/08/12.jpg,Encontrado
3599416,COMODA GENOVA BLANCO,56.97,$117.200,$93.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599416.jpg,Encontrado
3599415,COMODA GENOVA JACARANDA,56.97,$117.200,$93.760,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599415.jpg,Encontrado
3599097,KIT COCINA POP CINAMOMO AREIA,45.26,$95.100,$76.080,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/08/1.jpg,Encontrado
3599098,KIT COCINA POP CINAMOMO NEGRO,45.26,$95.100,$76.080,-20%,,No creado en WooCommerce
3599099,KIT COCINA POP BLANCO,45.26,$95.100,$76.080,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/08/2-1.jpg,Encontrado
3599234,COMODA PRIMORDIAL JACARANDA,47.98,$100.800,$80.640,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/14.jpg,Encontrado
